school,overall_rank,overall_h_index_score,overall_h-index,rank_by_individual,rank_by_individual_h_index_score,rank_by_individual_h_index,num_of_faculty,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,,,,,,
CMU,1,100.00,1051,2,85.25,43.97,22,86,74,71,68,59,58,54,53,52,50,50,49,46,44,43,36,35,33,31,26,21,12,,,,,,,
UCI,2,41.86,440,7,48.47,25.00,16,59,46,44,42,37,35,34,33,28,20,18,16,11,9,8,,,,,,,,,,,,,,
GaTech,3,35.01,368,9,46.47,23.96,14,51,39,35,34,34,29,26,25,21,19,17,14,13,11,,,,,,,,,,,,,,,
UW,4,34.06,358,5,51.89,26.76,11,60,44,41,40,35,29,25,21,20,15,15,13,,,,,,,,,,,,,,,,,
Cornell,5,31.87,335,4,54.23,27.97,10,82,40,39,36,34,31,29,26,10,8,,,,,,,,,,,,,,,,,,,
Stanford,6,26.64,280,1,100.00,51.57,5,71,68,61,59,21,,,,,,,,,,,,,,,,,,,,,,,,
PSU,7,23.03,242,3,58.82,30.34,6,89,56,49,21,19,8,,,,,,,,,,,,,,,,,,,,,,,
UC Berkeley,8,15.79,166,6,50.16,25.87,6,49,28,28,26,20,15,,,,,,,,,,,,,,,,,,,,,,,
UMich,9,15.32,161,10,38.98,20.10,7,41,37,27,20,15,12,9,,,,,,,,,,,,,,,,,,,,,,
UMN,10,14.46,152,8,46.71,24.09,5,61,48,18,14,11,,,,,,,,,,,,,,,,,,,,,,,,
