school	overall_rank	overall_h_index_score	overall_h_index	rank_by_individual	rank_by_individual_h_index_score	rank_by_individual_h_index	num_of_faculty	1	2	3	4	5	6	7	8	9	10	11	12																		
CMU	1	100.00	418	6	62.81	29.25	12	71	56	50	49	44	37	29	23	21	17	13	8																		
UCI	2	69.38	290	8	58.29	27.15	10	49	35	34	33	33	30	28	17	16	15																				
Stanford	3	58.13	243	2	83.02	38.67	6	57	49	45	39	31	22																								
MIT	4	53.35	223	4	66.03	30.75	7	47	40	31	30	29	27	19																							
UIUC	5	52.87	221	3	75.73	35.27	6	50	43	41	39	28	20																								
UMCP	6	45.45	190	7	62.67	29.19	5	42	41	34	32	30	11																								
NCSU	7	41.87	175	10	42.20	19.66	7	45	44	37	17	14	13	5																							
UCSD	8	39.71	166	9	57.44	26.76	5	39	34	26	20	28	19																								
GaTech	9	37.56	157	5	65.21	30.37	5	39	38	34	27	19																									
UWM	10	36.12	151	1	100.00	46.58	3	67	58	26																											
