school	overall_rank	overall_h-index_score	overall_h-index	rank_by_individual	rank_by_individual_h-index_score	rank_by_individual_h-index	num_of_faculty	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
CMU	1	100.00	1148	3	48.22	27.52	28	86	74	71	68	59	58	54	53	52	50	50	49	46	44	43	36	35	33	33	31	31	26	21	18	13	10	2	1	1
GaTech	2	45.99	528	9	39.66	22.63	21	51	45	39	35	34	34	29	28	26	25	24	24	21	19	19	17	14	13	11	11	9								
UCI	2	45.99	528	8	42.66	24.35	18	59	49	46	44	42	37	35	34	33	33	28	20	18	16	11	9	8	6											
UW	4	38.68	444	4	47.37	27.03	13	75	60	44	41	40	35	29	25	21	20	15	15	13	11															
Stanford	5	37.20	427	1	100.00	57.07	7	74	73	71	68	61	59	21																						
UMich	6	33.28	382	10	36.06	20.58	15	45	41	37	34	34	28	28	27	20	19	18	15	12	9	8	7													
UMCP	7	31.01	356	6	43.18	24.64	11	99	54	46	43	24	23	20	16	11	11	9																		
Cornell	8	30.14	346	5	44.83	25.58	11	82	40	39	36	34	31	29	26	12	10	7																		
UC Berkeley	9	25.35	291	2	56.51	32.25	8	64	61	49	28	28	26	20	15																					
PSU	10	21.69	249	7	43.11	24.60	7	89	56	49	21	19	8	7																						
