USNEWS Ranking,School,Overall Ranking,Overall H-Index Score,Individual Ranking,Individual H-Index Score,No. of Faculty ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,CMU,1,100,12,48.22,28,86,74,71,68,59,58,54,53,52,50,50,49,46,44,43,36,35,33,33,31,31,26,21,18,13,10,2,1,1
9,GaTech,2,45.99,26,39.66,21,51,45,39,35,34,34,29,28,26,25,24,24,21,19,19,17,14,13,11,11,9,,,,,,,,
29,UCI,3,45.99,20,42.66,18,59,49,46,44,42,37,35,34,33,33,28,20,18,16,11,9,8,6,,,,,,,,,,,
6,UW,4,38.68,14,47.37,13,75,60,44,41,40,35,29,25,21,20,15,15,13,11,,,,,,,,,,,,,,,
1,Stanford,5,37.2,1,100,7,74,73,71,68,61,59,21,,,,,,,,,,,,,,,,,,,,,,
13,UMich,6,33.28,31,36.06,15,45,41,37,34,34,28,28,27,20,19,18,15,12,9,8,7,,,,,,,,,,,,,
15,UMCP,7,31.01,18,43.18,11,99,54,46,43,24,23,20,16,11,11,9,,,,,,,,,,,,,,,,,,
6,Cornell,8,30.14,16,44.83,11,82,40,39,36,34,31,29,26,12,10,7,,,,,,,,,,,,,,,,,,
1,UC Berkeley,9,25.35,10,56.51,8,64,61,49,28,28,26,20,15,,,,,,,,,,,,,,,,,,,,,
29,PSU,10,21.69,19,43.11,7,89,56,49,21,19,8,7,,,,,,,,,,,,,,,,,,,,,,
1,MIT,11,16.64,11,53.39,6,49,36,34,29,23,20,,,,,,,,,,,,,,,,,,,,,,,
40,VT,12,15.42,23,41,7,38,37,27,23,22,20,10,,,,,,,,,,,,,,,,,,,,,,
40,UCBoulder,13,13.94,17,44.7,6,39,35,27,22,20,17,,,,,,,,,,,,,,,,,,,,,,,
29,UMN,14,13.24,21,42.21,5,61,48,18,14,11,,,,,,,,,,,,,,,,,,,,,,,,
19,UPenn,15,12.37,13,47.89,5,39,35,28,21,19,,,,,,,,,,,,,,,,,,,,,,,,
25,UNC,16,11.59,34,32.74,6,47,23,23,19,15,6,,,,,,,,,,,,,,,,,,,,,,,
5,UIUC,17,11.06,30,36.13,5,41,33,29,19,5,,,,,,,,,,,,,,,,,,,,,,,,
20,Brown,18,10.37,9,57.29,3,64,42,13,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Princeton,19,9.67,29,37.63,4,52,31,22,6,,,,,,,,,,,,,,,,,,,,,,,,,
34,Northwestern,20,9.23,39,25.05,7,26,19,14,14,14,10,9,,,,,,,,,,,,,,,,,,,,,,
15,UCSD,21,8.89,7,59.22,3,39,33,30,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Columbia,22,7.06,8,59.01,2,63,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
